"X1"	"X2"	"X3"
"11"	5.38376085951318e-05	0.001	1986.30996031664
"260"	5.38376085951318e-05	0.021499170661821	1826.20682871763
"524"	5.38376085951318e-05	2.14315838604326	2509.9570770557
"721"	5.38376085951318e-05	46.076127896857	1549.47806588009
"755"	5.38376085951318e-05	46.076127896857	813.615531351807
"783"	5.38376085951318e-05	46.076127896857	1778.77907614956
"807"	5.38376085951318e-05	213.642095312272	2137.69195137931
"896"	5.38376085951318e-05	213.642095312272	1834.89476340557
"908"	5.38376085951318e-05	990.598537090425	988.111526076196
"970"	5.38376085951318e-05	990.598537090425	2584.33880086374
"1050"	8.0448367389799e-05	0.001	751.617396306876
"1095"	8.0448367389799e-05	0.001	2309.3074072772
"1143"	8.0448367389799e-05	0.00463671981704966	902.643948670126
"1182"	8.0448367389799e-05	0.00463671981704966	2703.28263041216
"1413"	8.0448367389799e-05	0.462214339146106	1770.46814465365
"1463"	8.0448367389799e-05	0.462214339146106	3206.58491362716
"1474"	8.0448367389799e-05	0.462214339146106	569.881953125728
"1587"	8.0448367389799e-05	2.14315838604326	427.337635925873
"1615"	8.0448367389799e-05	9.93722495964297	1192.49691329918
"1696"	8.0448367389799e-05	9.93722495964297	1834.89476340557
"1985"	8.0448367389799e-05	990.598537090425	1264.77371752547
"2024"	0.000120212245390656	0.001	2509.9570770557
"2033"	0.000120212245390656	0.001	3025.94815401238
"2318"	0.000120212245390656	0.0996856306577983	705.399612309552
"2739"	0.000120212245390656	46.076127896857	1215.35037876582
"2929"	0.000120212245390656	990.598537090425	956.539925037053
"2992"	0.000120212245390656	990.598537090425	2584.66921790343
"3153"	0.000179630543300444	0.00463671981704966	223.14148388167
"3363"	0.000179630543300444	0.0996856306577983	3206.58491362716
"3447"	0.000179630543300444	0.462214339146106	3084.59452138451
"3529"	0.000179630543300444	2.14315838604326	956.539925037053
"3569"	0.000179630543300444	2.14315838604326	1267.26518800751
"3615"	0.000179630543300444	9.93722495964297	1192.49691329918
"3780"	0.000179630543300444	46.076127896857	1753.00374093593
"4244"	0.000268418013335941	0.021499170661821	734.796159262403
"4257"	0.000268418013335941	0.021499170661821	2906.84764561915
"4416"	0.000268418013335941	0.462214339146106	966.788425579247
"4428"	0.000268418013335941	0.462214339146106	1592.55216788847
"4436"	0.000268418013335941	0.462214339146106	1364.05589138557
"4441"	0.000268418013335941	0.462214339146106	1466.97678546729
"4570"	0.000268418013335941	2.14315838604326	2584.33880086374
"4615"	0.000268418013335941	9.93722495964297	1192.49691329918
"4621"	0.000268418013335941	9.93722495964297	1549.47806588009
"4625"	0.000268418013335941	9.93722495964297	663.439168015347
"4762"	0.000268418013335941	46.076127896857	1870.22985745931
"4934"	0.000268418013335941	990.598537090425	995.284034625872
"5079"	0.000401091198408882	0.001	2951.0550051684
"5083"	0.000401091198408882	0.001	1778.77907614956
"5188"	0.000401091198408882	0.00463671981704966	1298.23863694655
"5244"	0.000401091198408882	0.021499170661821	734.796159262403
"5247"	0.000401091198408882	0.021499170661821	3084.59452138451
"5270"	0.000401091198408882	0.021499170661821	2584.33880086374
"5293"	0.000401091198408882	0.021499170661821	708.514341003663
"5351"	0.000401091198408882	0.0996856306577983	2312.71026854809
"5386"	0.000401091198408882	0.0996856306577983	900.587615223033
"5457"	0.000401091198408882	0.462214339146106	2906.84764561915
"5468"	0.000401091198408882	0.462214339146106	982.536959633744
