CEBPB	chr20	50190234	50191234	+
RNF207	chr1	6204975	6205975	+
PTAFR	chr1	28193436	28194436	-
TACSTD2	chr1	58577273	58578273	-
GBP2	chr1	89149956	89150956	-
CSF1	chr1	109909742	109910742	+
SCCPDH	chr1	246723547	246724547	+
CD83	chr6	14116756	14117756	+
SOX4	chr6	21592268	21593268	+
SOD2	chr6	159762029	159763029	-
IRAK2	chr3	10164365	10165365	+
CD47	chr3	108090525	108091525	-
NFE2L3	chr7	26151740	26152740	+
DUSP16	chr12	12561883	12562883	-
SLC11A2	chr12	51028066	51029066	-
APPL2	chr12	105235738	105236738	-
SH3BP2	chr4	2792523	2793523	+
TIFA	chr4	112285403	112286403	-
TLR2	chr4	153701000	153702000	+
USP43	chr17	9644198	9645198	+
TRIM16	chr17	15683811	15684811	-
SLFN5	chr17	35242536	35243536	+
MSL1	chr17	40121798	40122798	+
ERN1	chr17	64130319	64131319	-
TRIM47	chr17	75878075	75879075	-
SGSH	chr17	80220423	80221423	-
SLC5A6	chr2	27212458	27213458	-
COL5A2	chr2	189179379	189180379	-
NAB1	chr2	190646246	190647246	+
MYO1B	chr2	191244685	191245685	+
CLK1	chr2	200864244	200865244	-
TMEM159	chr16	21157877	21158877	+
CLUHP3	chr16	31700090	31701090	+
NQO1	chr16	69726451	69727451	-
TNFRSF10B	chr8	23068679	23069679	-
CEBPD	chr8	47738586	47739586	-
IRGQ	chr19	43595635	43596635	-
SIX5	chr19	45768726	45769726	-
GCH1	chr14	54902352	54903352	-
SIX4	chr14	60723848	60724848	-
ZFP36L1	chr14	68795753	68796753	-
BDKRB2	chr14	96204179	96205179	+
OSMR	chr5	38845358	38846358	+
CMYA5	chr5	79689377	79690377	+
N4BP3	chr5	178112943	178113943	+
GFPT2	chr5	180352887	180353887	-
RAB27B	chr18	54717360	54718360	+
THBS1	chr15	39580579	39581579	+
