"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"
"1"	"chr5"	53772	53873	558.712870153679	202.791546243682	44.7826420198487	449.548692190476	254.708476689188	355.764111978997	314.32182200998	73.8352198774005	286.115859223083	152.099106988725	0	0	108.8503469501	180.118746450277	559.007033100131	478.334275035971
"2"	"chr10"	135406	135507	65.4741644709793	87.5296844897307	369.070739404941	63.5487680058311	0	113.541737865515	0	0	265.116530106303	0	172.422175494424	200.79525315397	557.388845589663	9.62466584086096	141.503033441564	0
"3"	"chr12"	153253	153354	0	233.123615125794	475.622542831136	62.3719389691593	0	0	0	496.541853675332	0	0	995.738063479475	506.958312418937	0	105.871324249457	40.6295838594183	0
"4"	"chr7"	191609	191710	373.202737484802	244.389812139575	884.07112263519	323.039570697447	329.814822379493	22.7083475731413	239.483292960075	313.799684478952	293.99060764287	0	1150.9180214247	872.763526086014	512.347322713079	236.49178923252	0	770.649665335845
"5"	"chr9"	214646	214747	220.429687052517	149.927083334008	192.256514877903	340.692006254656	329.814822379493	0	0	319.337325970316	0	0	0	0	467.305799836496	578.854902713941	221.361181026893	0
"6"	"chr10"	235037	235138	425.582069062468	233.123615125794	325.832326419867	393.060898407647	261.239463270954	219.514026540379	213.289807792608	0	338.614182016358	250.516176216426	0	310.139202892176	499.210211874866	285.990070699178	341.848912472913	441.539330802911
"7"	"chr2"	264688	264789	748.587947118858	1241.88156310842	529.670559061894	527.807823160945	646.567671594135	0	542.579335613703	1480.39615854412	721.851938408855	810.598770186548	426.744884347725	111.332021550806	810.747411765231	661.35203849263	386.681556731865	406.788550136519
"8"	"chr2"	264968	265069	639.464339667226	454.981033238682	251.709332732283	664.31999147133	659.629644758985	0	340.515307177447	538.997105105397	5.24983227932749	413.351690757283	254.322708853519	0	390.359864923439	277.740357121865	629.058039755716	977.110185757204
"9"	"chr16"	273676	273777	211.699798456387	284.254816957165	163.688277727594	525.454165087007	0	0	362.966865892419	160.591603233533	0	431.245703344171	0	0	397.866785403501	378.111872319686	490.357046579187	547.835836364625
"10"	"chr17"	349239	349340	541.253092959655	564.176481216386	465.585054102333	236.54263646671	724.939510576642	98.4028394834467	0	658.979337407104	225.742788011347	372.1954618069	683.222870397315	332.007992837809	223.33088425911	280.490261648099	368.468295001356	73.5898884669454
"11"	"chr11"	356083	356184	0	135.194364162746	477.938886384117	88.8505923046747	0	0	0	101.523427331612	0	180.729527127745	0	920.477249606497	292.769898694001	0	211.554040095734	0
"12"	"chr20"	370429	370530	0	463.647338633696	413.081266906896	78.8475454891016	0	0	0	186.433930190623	771.725345062201	250.516176216426	653.048989684958	260.43740755608	245.851645697402	138.870178560932	0	67.4573977613666
"13"	"chr16"	401833	402003	186.716911385571	349.603857462027	169.72893836553	406.570203501759	0	323.794320689589	0	458.408134233084	0	277.472979884893	284.268383744961	40.1590506307941	127.109827057029	410.075468456318	268.855763538972	410.492093544129
"14"	"chr16"	450992	451093	220.429687052517	178.525891137817	108.096032461516	443.076132486107	0	382.257184147618	0	88.6022638528806	149.620219961099	180.729527127745	254.322708853519	43.7375798948805	189.54974210262	211.742648499191	571.616214299156	390.435241588722
"15"	"chr18"	499521	499622	440.859374105035	149.060452794419	254.797790802144	41.1890163002122	329.814822379493	382.257184147618	0	169.821005718208	209.993291173365	0	0	238.568617608439	394.11332516347	63.247804096995	0	49.0599256446303
