SALL4	chr20	51802020	51803020	-
SPSB1	chr1	9292380	9293380	+
ZC3H12A	chr1	37474052	37475052	+
GADD45A	chr1	67684561	67685561	+
EFNA1	chr1	155126960	155127960	+
IER5	chr1	181088212	181089212	+
ELF3	chr1	202007445	202008445	+
NUAK2	chr1	205321291	205322291	-
IER3	chr6	30744054	30745054	-
TNF	chr6	31575067	31576067	+
PIM1	chr6	37169703	37170703	+
FAM46A	chr6	81752274	81753274	-
TNFAIP3	chr6	137866688	137867688	+
RND1	chr12	48865398	48866398	-
PHLDA1	chr12	76033432	76034432	-
KLF3	chr4	38663696	38664696	+
SOX9	chr17	72120520	72121520	+
MXD1	chr2	69897188	69898188	+
DLC1	chr8	13604110	13605110	-
PLEKHF2	chr8	95133304	95134304	+
KLF10	chr8	102655402	102656402	-
JUNB	chr19	12790996	12791996	+
PPP1R15A	chr19	48871892	48872892	+
IRS2	chr13	109786068	109787068	-
NFKBIA	chr14	35404249	35405249	-
PTGER4	chr5	40678998	40679998	+
MAP3K1	chr5	56815074	56816074	+
PLK2	chr5	58459760	58460760	-
ARRDC3	chr5	91382859	91383859	-
IRF1	chr5	132490298	132491298	-
SPRY4	chr5	142325955	142326955	-
LIF	chr22	30246351	30247351	-
MAP3K8	chr10	30433437	30434437	+
PPP1R3C	chr10	91632554	91633554	-
NRIP1	chr21	15065436	15066436	-
