rep1	rep2	score	rep1rmsd	rep2rmsd	
ADGRF4	45	45	3.761	0.334	0.427
ADGRG6	75	75	3.81263352	0.306	0.324
AKR1C2	89	89	3.924	0.515	0.409
AMIGO2	20	37	3.708778124	0.207	0.232
ANKRD18B	95	95	3.867312307	0.293	0.301
ANKRD33B	77	78	3.70355992	0.314	0.245
ANXA8	72	72	3.544718328	0.251	0.251
AREG	55	55	4.163	0.516	0.647
ATP1B1	97	97	3.721920415	0.185	0.313
BAG1	90	90	3.8	0.398	0.402
BCL2L11	43	42	3.626996123	0.137	0.279
BCL3	74	62	3.513927423	0.103	0.254
BID	39	29	3.82614673	0.264	0.242
BIRC3	82	82	3.649449372	0.202	0.188
CDKN2B	74	74	3.636120508	0.202	0.199
CLIC4	49	71	3.788225653	0.264	0.235
DMXL2	73	73	3.968744753	0.45	0.433
EIF5	57	57	3.715152219	0.333	0.28
ETS2	46	74	3.731917658	0.218	0.423
FAM107B	95	95	3.802698282	0.179	0.186
FNBP4	13	24	4.154652625	0.558	0.526
ICAM1	82	70	3.557278253	0.099	0.161
IL17C	72	72	3.816238307	0.47	0.346
ITGAV	83	83	3.879134344	0.454	0.414
ITPKC	92	92	3.845171827	0.32	0.427
LYPD6B	62	61	3.854246759	0.245	0.237
MAFF	48	48	3.554564074	0.176	0.277
NCOA7	90	26	3.777869154	0.141	0.169
NEDD9	58	28	3.600033278	0.146	0.306
NFKBIE	20	50	3.594441465	0.208	0.169
NKX3_1	81	81	4.339157747	0.179	0.153
NMD3	42	42	4.186886947	0.656	0.529
PCNA	49	49	4.053	0.49	0.563
PLAU	24	24	3.568373675	0.263	0.286
PLPP6	56	56	3.54491383	0.209	0.291
RAB9A	81	81	3.741128177	0.374	0.367
RBM3	84	84	3.647988105	0.302	0.344
REL	64	64	3.643638285	0.273	0.327
RHOV	58	57	3.63406985	0.17	0.275
S100A9	86	81	3.765510094	0.22	0.211
SDC4	25	25	3.997375204	0.209	0.181
SDCBP	69	70	3.684036428	0.206	0.192
SPTSSB	97	97	3.937	0.482	0.455
TET2	13	13	3.975326423	0.354	0.419
TICAM1	1	1	3.574346562	0.098	0.276
TNFRSF11B	87	88	3.686591957	0.186	0.189
TXNRD1	49	49	3.675610091	0.264	0.335
VMP1	6	6	3.845	0.405	0.44
