"chr"	"start"	"end"	"strand"	"name"
"285"	"chr1"	1019622	1020623	"+"	"AGRN"
"385"	"chr16"	1414250	1415251	"-"	"UNKL"
"540"	"chr17"	2024844	2025845	"-"	"RTN4RL1"
"551"	"chr19"	2050743	2051744	"-"	"MKNK2"
"707"	"chr7"	2843823	2844824	"-"	"GNA12"
"896"	"chr20"	3786271	3787272	"+"	"CDC25B"
"906"	"chr20"	3846298	3847299	"+"	"MAVS"
"1009"	"chr16"	4615992	4616993	"+"	"MGRN1"
"1103"	"chr21"	5021992	5022993	"+"	"CH507-9B2.1"
"1368"	"chr12"	6606975	6607976	"-"	"CHD4"
"1404"	"chr19"	6730061	6731062	"-"	"C3"
"1411"	"chr19"	6767087	6768088	"-"	"SH2D3A"
"1448"	"chr12"	6923962	6924963	"+"	"ATN1"
"1689"	"chr17"	8118546	8119547	"-"	"ALOXE3"
"1782"	"chr8"	8893144	8894145	"-"	"MFHAS1"
"1965"	"chr3"	10140507	10141508	"+"	"VHL"
"1977"	"chr19"	10230771	10231772	"-"	"S1PR2"
"1979"	"chr3"	10247522	10248523	"+"	"TATDN2"
"2054"	"chr12"	10673817	10674818	"-"	"STYK1"
"2355"	"chr9"	12774520	12775521	"+"	"LURAP1L"
"2369"	"chr3"	12841087	12842088	"-"	"RPL32"
"2649"	"chr19"	15418640	15419641	"-"	"AKAP8L"
"2662"	"chr19"	15498455	15499456	"-"	"PGLYRP2"
"2727"	"chr2"	15940063	15941064	"+"	"MYCN"
"2784"	"chr3"	16513525	16514526	"-"	"RFTN1"
"2846"	"chr5"	17065097	17066098	"+"	"BASP1"
"2955"	"chr6"	17706333	17707334	"-"	"NUP153"
"2992"	"chr17"	17971921	17972922	"-"	"TOM1L2"
"3327"	"chr13"	20192397	20193398	"-"	"GJB2"
"3330"	"chr6"	20211898	20212899	"-"	"MBOAT1"
"3371"	"chr22"	20495412	20496413	"+"	"MED15"
"3382"	"chr5"	20575372	20576373	"-"	"CDH18"
"3494"	"chr17"	21284171	21285172	"+"	"MAP2K3"
"3542"	"chr14"	21536715	21537716	"-"	"SALL2"
"3624"	"chr1"	22143468	22144469	"-"	"WNT4"
"3629"	"chr18"	22168942	22169943	"+"	"GATA6"
"3657"	"chr1"	22451350	22452351	"+"	"ZBTB40"
"3759"	"chr1"	23194228	23195229	"-"	"HTR1D"
"3796"	"chr10"	23438957	23439958	"+"	"OTUD1"
"3829"	"chr14"	23629614	23630615	"+"	"DHRS2"
"3892"	"chr1"	23958608	23959609	"+"	"PNRC2"
"3971"	"chr2"	24360213	24361214	"-"	"ITSN2"
"3981"	"chr14"	24428785	24429786	"+"	"KHNYN"
"4411"	"chr1"	27603930	27604931	"-"	"AHDC1"
"4576"	"chr10"	28676841	28677842	"+"	"BAMBI"
"4589"	"chr17"	28743483	28744484	"+"	"TRAF4"
"4620"	"chr17"	28951270	28952271	"-"	"PHF12"
"4658"	"chr17"	29293617	29294618	"-"	"NUFIP2"
"4716"	"chr16"	29810881	29811882	"+"	"PRRT2"
"4952"	"chr16"	30922554	30923555	"+"	"FBXL19"
"4977"	"chr22"	31063604	31064605	"+"	"SMTN"
"5010"	"chr16"	31202949	31203950	"-"	"PYCARD"
"5020"	"chr16"	31259489	31260490	"+"	"ITGAM"
"5297"	"chr20"	32584573	32585574	"-"	"NOL4L"
"5421"	"chr6"	33271509	33272510	"+"	"RPS18"
"5433"	"chr6"	33313886	33314887	"-"	"TAPBP"
"5543"	"chr17"	34254717	34255718	"+"	"CCL2"
"5626"	"chr20"	34825148	34826149	"-"	"NCOA6"
"5701"	"chr5"	35230088	35231089	"-"	"PRLR"
"5782"	"chr10"	35641777	35642778	"-"	"FZD8"
"6024"	"chr20"	36863185	36864186	"-"	"SOGA1"
"6198"	"chr8"	37898966	37899967	"-"	"RAB11FIP1"
"6203"	"chr19"	37906727	37907728	"+"	"SIPA1L3"
"6310"	"chr15"	38565074	38566075	"-"	"RASGRP1"
"6381"	"chr19"	38899199	38900200	"+"	"NFKBIB"
"6444"	"chr6"	39228949	39229950	"-"	"KCNK5"
"6666"	"chr20"	40688739	40689740	"-"	"MAFB"
"6856"	"chr6"	41545925	41546926	"+"	"FOXP4"
"6969"	"chr6"	42142118	42143119	"-"	"C6orf132"
"6997"	"chr19"	42242124	42243125	"-"	"GSK3A"
"7001"	"chr19"	42268036	42269037	"+"	"CIC"
"7036"	"chr6"	42451550	42452551	"-"	"TRERF1"
"7322"	"chr21"	43775944	43776945	"-"	"CSTB"
"7347"	"chr13"	43878783	43879784	"+"	"LACC1"
"7427"	"chr21"	44240465	44241466	"-"	"ICOSLG"
"7500"	"chr13"	44576646	44577647	"-"	"TSC22D1"
"7519"	"chr19"	44661777	44662778	"+"	"CEACAM19"
"7640"	"chr17"	45132853	45133854	"-"	"PLCD3"
"7825"	"chr18"	46071771	46072772	"-"	"PSTPIP2"
"7834"	"chr11"	46120677	46121678	"-"	"PHF21A"
"7838"	"chr1"	46132535	46133536	"-"	"PIK3R3"
"7957"	"chr19"	46716626	46717627	"-"	"PRKD2"
"7969"	"chrX"	46758671	46759672	"-"	"SLC9A7"
"8108"	"chr7"	47582057	47583058	"-"	"TNS3"
"8166"	"chr11"	47980057	47981058	"+"	"PTPRJ"
"8359"	"chr17"	48907868	48908869	"+"	"UBE2Z"
"8390"	"chr3"	49006561	49007562	"+"	"WDR6"
