rep1	rep2	score	rep1rmsd	rep2rmsd	
ARRDC3	73	73	3.964	0.438	0.526
DLC1	99	99	3.60421164	0.193	0.408
EFNA1	51	51	3.619298583	0.18	0.36
ELF3	39	19	4.039000832	0.36	0.532
FAM46A	25	88	3.836644547	0.303	0.457
GADD45A	5	43	3.856007743	0.179	0.271
IER3	86	86	3.778272399	0.296	0.48
IER5	93	92	3.978898709	0.303	0.477
IRF1	76	76	3.749217996	0.297	0.382
IRS2	60	60	4.145	0.415	0.73
JUNB	24	24	3.80406118	0.216	0.417
KLF10	46	45	4.42942973	0.541	0.666
KLF3	55	55	3.746834545	0.272	0.398
LIF	68	68	3.763112137	0.32	0.43
MAP3K1	59	59	3.97276761	0.393	0.47
MAP3K8	80	33	3.69787092	0.181	0.278
MXD1	73	73	3.783670016	0.306	0.441
NRIP1	11	11	4.328	0.529	0.799
NUAK2	86	86	3.820594672	0.351	0.446
PHLDA1	53	53	3.582497762	0.199	0.301
PIM1	50	96	4.354242846	0.591	0.627
PLEKHF2	25	56	3.849457442	0.154	0.171
PLK2	62	62	3.853079983	0.305	0.456
PPP1R15A	13	13	4.147	0.48	0.667
PPP1R3C	48	48	3.682	0.269	0.413
PTGER4	76	20	3.732495401	0.165	0.308
RND1	98	75	3.701687671	0.189	0.327
SALL4	63	63	3.655527432	0.23	0.375
SOX9	90	80	3.487314938	0.095	0.094
SPRY4	88	40	3.652674072	0.112	0.21
SPSB1	98	98	3.694466097	0.199	0.406
TNF	92	92	3.517	0.143	0.374
TNFAIP3	70	70	3.883457529	0.409	0.462
ZC3H12A	87	87	3.933299672	0.284	0.47
