"chr"	"start"	"end"	"strand"	"name"
"1"	"chrM"	3306	3807	"+"	"MT-ND1"
"2"	"chrM"	3969	4970	"+"	"MT-ND2"
"3"	"chrM"	5403	6404	"+"	"MT-CO1"
"4"	"chrM"	7085	8086	"+"	"MT-CO2"
"5"	"chrM"	7865	8866	"+"	"MT-ATP8"
"6"	"chrM"	8026	9027	"+"	"MT-ATP6"
"7"	"chrM"	8706	9707	"+"	"MT-CO3"
"8"	"chrM"	9558	10559	"+"	"MT-ND3"
"9"	"chrM"	9969	10970	"+"	"MT-ND4L"
"10"	"chrM"	10259	11260	"+"	"MT-ND4"
"11"	"chrM"	11836	12837	"+"	"MT-ND5"
"12"	"chrM"	14172	15173	"-"	"MT-ND6"
"13"	"chrM"	14246	15247	"+"	"MT-CYB"
"14"	"chr9"	29238	30239	"-"	"WASHC1"
"15"	"chr2"	46369	47370	"-"	"FAM110C"
"16"	"chr16"	52509	53510	"+"	"SNRNP25"
"17"	"chr16"	53127	54128	"-"	"POLR3K"
"18"	"chr4"	53284	53785	"+"	"ZNF595"
"19"	"chr12"	66764	67265	"+"	"IQSEC3"
"20"	"chr1"	69090	69591	"+"	"OR4F5"
"21"	"chr10"	73662	74663	"-"	"TUBB8"
"22"	"chr16"	75854	76855	"-"	"RHBDF1"
"23"	"chr16"	76506	77507	"+"	"MPG"
"24"	"chr20"	87249	87750	"+"	"DEFB125"
"25"	"chr5"	92150	92651	"+"	"PLEKHG4B"
"26"	"chr19"	107460	107961	"+"	"OR4F17"
"27"	"chr9"	117703	118704	"-"	"FOXD4"
"28"	"chr4"	123979	124980	"+"	"ZNF718"
"29"	"chr10"	133964	134965	"+"	"ZMYND11"
"30"	"chr17"	137525	138026	"+"	"SCGB1C2"
"31"	"chr16"	138359	139360	"-"	"NPRL3"
"32"	"chr20"	141868	142869	"+"	"DEFB126"
"33"	"chr16"	152186	153187	"+"	"HBZ"
"34"	"chr16"	153391	154392	"+"	"HBM"
"35"	"chr20"	156969	157970	"+"	"DEFB127"
"36"	"chr18"	158382	158883	"+"	"USP14"
"37"	"chr8"	166542	167543	"-"	"OR4F21"
"38"	"chr16"	172346	173347	"+"	"HBA2"
"39"	"chr16"	176179	177180	"+"	"HBA1"
"40"	"chr9"	178646	179647	"-"	"CBWD1"
"41"	"chr16"	179952	180953	"+"	"HBQ1"
"42"	"chr17"	181135	182136	"-"	"DOC2B"
"43"	"chr20"	189180	190181	"-"	"DEFB128"
"44"	"chr5"	191010	192011	"+"	"LRRC14B"
"45"	"chr11"	192579	193580	"+"	"SCGB1C1"
"46"	"chr7"	192968	193469	"+"	"FAM20C"
"47"	"chr11"	196237	197238	"+"	"ODF3"
"48"	"chr3"	196595	197096	"+"	"CHL1"
"49"	"chr11"	206927	207928	"-"	"BET1L"
"50"	"chr11"	207010	208011	"+"	"RIC8A"
"51"	"chr12"	214069	215070	"-"	"SLC6A12"
"52"	"chr9"	214353	215354	"+"	"DOCK8"
"53"	"chr9"	215240	216241	"-"	"C9orf66"
"54"	"chr5"	217714	218715	"-"	"CCDC127"
"55"	"chr5"	217740	218741	"+"	"SDHA"
"56"	"chr20"	226757	227758	"+"	"DEFB129"
"57"	"chr16"	228962	229963	"-"	"LUC7L"
"58"	"chr8"	231636	232637	"+"	"ZNF596"
"59"	"chr16"	234045	235046	"+"	"FAM234A"
"60"	"chr11"	236045	237046	"+"	"PSMD13"
"61"	"chr11"	236430	237431	"-"	"SIRT3"
