"rep1"	"rep2"	"score"	"rep1rmsd"	"rep2rmsd"
"ABAT"	80	10	2.62704808174109	0.236	0.222
"ABTB2"	83	68	2.46255603456699	0.192	0.153
"AOX1"	46	36	2.65143232357071	0.296	0.254
"APOL2"	79	79	2.69432910322429	0.377	0.315
"ARID5B"	90	68	2.54945828173616	0.21	0.178
"B4GALT5"	16	7	2.34625498115733	0.119	0.094
"BAZ1A"	31	21	2.75628294037145	0.349	0.328
"CHST15"	38	84	2.46750154068663	0.174	0.141
"CLK4"	39	39	2.70470033617851	0.363	0.334
"CREBZF"	54	14	2.71013332220272	0.289	0.279
"CRIM1"	84	83	2.43688189297651	0.192	0.178
"DAXX"	8	8	2.571	0.316	0.255
"DDX58"	80	91	2.83797317947394	0.41	0.349
"DRAM1"	46	15	2.52094597699175	0.198	0.18
"EFEMP1"	99	82	2.53813654338169	0.222	0.199
"FAM117A"	74	74	2.500565146369	0.283	0.217
"FGD6"	47	6	2.46181052181077	0.159	0.148
"FOXO1"	94	84	2.39343668342549	0.116	0.108
"HIVEP2"	26	80	2.60744078748218	0.24	0.205
"HMGCR"	15	18	2.7886086097618	0.45	0.338
"IER5L"	85	85	3.0071092034694	0.506	0.482
"IFNGR2"	62	51	2.45098459635059	0.165	0.146
"IL6ST"	61	54	2.61514379540235	0.311	0.257
"IRF2"	88	47	2.85567559444156	0.461	0.392
"ITGB8"	86	86	2.58101741315062	0.24	0.219
"KLHL5"	56	75	2.41037149242964	0.148	0.148
"KYNU"	14	89	2.55592711804244	0.202	0.184
"LAMC2"	69	67	2.4566016541703	0.189	0.157
"LINC00052"	12	12	3.10486207046087	0.565	0.527
"LINC02015"	20	20	2.62659074882066	0.317	0.264
"LTB"	37	36	2.55227954063163	0.295	0.234
"MGAT4A"	12	56	2.60301531249119	0.222	0.212
"NFATC2"	57	8	2.45410906677328	0.166	0.127
"NFKB1"	40	38	2.444303672978	0.18	0.138
"NFKB2"	61	92	2.53153690465443	0.221	0.178
"OPTN"	60	17	2.61239062567891	0.312	0.252
"PHF23"	81	43	2.84885011949703	0.386	0.357
"PHLDB2"	85	96	2.64251833239728	0.282	0.247
"PLEKHG3"	36	22	2.65316818657602	0.273	0.246
"PPP1R18"	6	6	2.60351851644787	0.328	0.264
"PRKAR2B"	76	98	2.55632915464995	0.249	0.211
"RAB3IP"	72	51	2.54307641110212	0.218	0.198
"RBM25"	70	30	2.53725050583325	0.221	0.2
"RELB"	72	47	2.55025926891244	0.241	0.198
"RFX5"	78	78	2.43933634486479	0.143	0.136
"RSRC2"	85	83	2.88377366018117	0.354	0.342
"RUNX2"	94	94	2.71710791528382	0.28	0.26
"SEMA3C"	40	13	2.58544196891928	0.241	0.212
"SEMA4B"	37	65	2.45516859524722	0.172	0.151
"SERPINB8"	65	52	2.70299153544968	0.353	0.321
"SGPP2"	32	43	2.44519965678204	0.148	0.154
"SLC6A14"	8	52	3.19672275124039	0.647	0.549
"STAT5A"	100	84	2.41530157892324	0.126	0.127
"TAP1"	35	34	2.6149057853083	0.308	0.283
"TBC1D9"	97	20	2.76892671358532	0.344	0.309
"TNFAIP2"	38	1	2.45715245869697	0.221	0.195
"TRAF3"	21	22	2.58550968618656	0.216	0.21
"TRIP10"	9	8	2.47042436606424	0.207	0.156
"TUBD1"	8	8	2.71112359066105	0.295	0.279
"VDR"	39	51	2.44662092977534	0.15	0.144
