"rep1"	"rep2"	"score"	"rep1rmsd"	"rep2rmsd"
"ABAT"	33	33	8.40199938979995	0.653	0.654
"ABTB2"	100	100	7.43979473668712	0.24	0.221
"AOX1"	72	72	6.65266594618234	0.297	0.256
"APOL2"	81	81	6.83749079553628	0.284	0.256
"ARID5B"	36	36	8.3278194636289	0.285	0.246
"B4GALT5"	74	74	8.00521199057055	0.118	0.117
"BAZ1A"	55	55	7.07976856401257	0.35	0.323
"CHST15"	89	89	6.60485500328529	0.176	0.143
"CLK4"	21	21	9.44628827018828	0.354	0.312
"CREBZF"	98	98	7.08081284816049	0.29	0.28
"CRIM1"	4	4	6.7220486710042	0.197	0.18
"DAXX"	56	56	6.88464218496672	0.372	0.392
"DDX58"	71	71	7.69891387324354	0.388	0.337
"DRAM1"	100	100	7.97849884583322	0.235	0.231
"EFEMP1"	100	100	6.97057046578798	0.308	0.296
"FAM117A"	28	28	6.746	0.373	0.373
"FGD6"	30	30	6.8657854861548	0.209	0.21
"FOXO1"	50	50	6.990161862579	0.233	0.202
"HIVEP2"	4	4	6.58887267728824	0.242	0.203
"HMGCR"	16	16	6.936710079003	0.488	0.415
"IER5L"	65	65	7.3815390155853	0.505	0.473
"IFNGR2"	9	9	7.7314368442875	0.355	0.348
"IL6ST"	8	8	6.88810665477202	0.254	0.217
"IRF2"	31	31	6.66867849635182	0.243	0.221
"ITGB8"	19	19	7.57947016052834	0.268	0.185
"KLHL5"	2	2	6.89894685918597	0.151	0.142
"KYNU"	100	100	8.08725448812351	0.216	0.203
"LAMC2"	22	22	7.62910737614287	0.188	0.164
"LINC00052"	9	9	7.38297959900448	0.547	0.508
"LINC02015"	79	79	7.41643813882489	0.313	0.26
"LTB"	83	88	7.03934189901331	0.25	0.208
"MGAT4A"	64	64	7.5004154841627	0.227	0.218
"NFATC2"	39	39	6.71294731220761	0.169	0.129
"NFKB1"	72	72	6.81389513764634	0.241	0.235
"NFKB2"	21	21	7.06004648191127	0.221	0.178
"OPTN"	20	20	7.11622382211438	0.392	0.392
"PHF23"	85	85	7.10982959409287	0.355	0.34
"PHLDB2"	42	39	7.18891773203238	0.275	0.258
"PLEKHG3"	75	75	6.83964293559589	0.34	0.339
"PPP1R18"	2	3	8.02559728603959	0.309	0.265
"PRKAR2B"	5	5	6.618	0.309	0.309
"RAB3IP"	12	12	7.03381688074765	0.319	0.3
"RBM25"	69	69	7.58872153922698	0.219	0.193
"RELB"	98	98	6.62040879052157	0.241	0.197
"RFX5"	59	59	7.96184888051857	0.582	0.656
"RSRC2"	41	41	7.3939927062461	0.37	0.344
"RUNX2"	21	21	7.90369113050178	0.346	0.316
"SEMA3C"	18	18	6.87285695089048	0.233	0.226
"SEMA4B"	23	23	7.6210929814458	0.537	0.603
"SERPINB8"	18	18	8.68237667071482	0.36	0.31
"SGPP2"	51	51	6.94199950795598	0.18	0.168
"SLC6A14"	21	21	7.51999419390316	0.493	0.474
"STAT5A"	55	55	7.75179309969152	0.612	0.68
"TAP1"	98	98	7.02581868535866	0.308	0.269
"TBC1D9"	40	40	6.854	0.482	0.372
"TNFAIP2"	100	100	8.14978090533931	0.291	0.261
"TRAF3"	51	51	7.10045093253983	0.281	0.291
"TRIP10"	40	40	9.08321815449768	0.199	0.171
"TUBD1"	92	92	6.69756739262913	0.293	0.292
"VDR"	93	93	8.09316782793182	0.649	0.723
