"rep1"	"rep2"	"score"	"rep1rmsd"	"rep2rmsd"
"ARRDC3"	95	95	3.264	0.636	0.628
"DLC1"	88	77	2.85160697824674	0.377	0.434
"EFNA1"	78	61	2.84298549098924	0.394	0.407
"ELF3"	93	93	3.245	0.608	0.637
"FAM46A"	79	99	3.10926904366969	0.527	0.56
"GADD45A"	86	84	2.6503265472503	0.25	0.305
"IER3"	86	49	3.12788255121061	0.519	0.607
"IER5"	72	72	3.078	0.524	0.554
"IRF1"	92	94	3.02838168324367	0.531	0.494
"IRS2"	1	1	3.231	0.53	0.701
"JUNB"	77	99	2.86697757876363	0.373	0.492
"KLF10"	74	73	3.56534895244712	0.774	0.79
"KLF3"	95	95	2.93895422145481	0.465	0.469
"LIF"	91	83	3.0513823800507	0.526	0.523
"MAP3K1"	91	96	3.18020336374959	0.594	0.582
"MAP3K8"	67	81	2.68144870836969	0.25	0.31
"MXD1"	86	85	3.05701892536685	0.505	0.509
"NFKBIA"	81	59	3.12608936255596	0.474	0.518
"NRIP1"	86	86	3.56700000652999	0.723	0.844
"NUAK2"	43	43	3.14231950513544	0.59	0.552
"PHLDA1"	18	17	2.73357397802913	0.368	0.347
"PIM1"	81	81	3.612	0.82	0.792
"PLEKHF2"	94	95	2.50839322632924	0.193	0.18
"PLK2"	88	91	3.11714709973135	0.523	0.576
"PPP1R15A"	79	79	3.553	0.766	0.787
"PPP1R3C"	70	91	2.99469711454231	0.495	0.498
"PTGER4"	67	90	2.66100817375681	0.244	0.316
"RND1"	66	87	2.80969310809501	0.381	0.386
"SALL4"	73	81	2.90875461358025	0.452	0.447
"SOX9"	94	94	2.36417321745678	0.115	0.114
"SPRY4"	5	48	2.53666716338308	0.21	0.209
"SPSB1"	60	92	2.8827933264806	0.401	0.433
"TNF"	98	83	2.828259682351	0.401	0.426
"TNFAIP3"	21	21	3.20834143925683	0.624	0.574
"ZC3H12A"	68	82	3.04184735219685	0.487	0.554
