"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"
"1"	"chr16"	53015	53116	205.384781838321	498.181741766534	632.084953423055	351.977551141388	0	0	352.888500402735	261.470355869906	388.811373876373	362.090312015585	836.84144974604	482.918024753257	487.406640139811	521.89196862596	0	487.511126933215
"2"	"chr5"	82210	82311	476.786100696763	205.860223870297	373.701803738081	181.509992059036	0	415.726695618857	394.899036164915	36.2434156650993	332.796175945934	88.0080619479855	307.990073514464	371.804142951489	267.94605871675	159.278717697287	168.972330008614	164.112656591459
"3"	"chr17"	142272	142373	388.764051336107	756.193222350362	336.418329119822	113.875090075278	0	0	667.967518618236	934.562361078893	329.501164302908	226.30644500936	26.3412562873863	102.566660124311	834.460582858526	279.584983192601	0	0
"4"	"chr10"	339093	339194	0	225.073844765412	576.593270269035	627.34822350433	0	0	0	238.171017228057	0	181.045156007538	476.168863657622	356.846505015183	671.141080402357	918.394308424136	234.219071298835	550.260083864175
"5"	"chr16"	383680	383781	890.000721299307	444.658083560395	271.389012923678	661.855826557339	392.420216948103	1094.88416866096	348.687446826517	388.322310697493	606.28214231807	183.559672063195	204.65129884836	237.185401537684	257.738589812273	410.057975348235	1032.23690708248	641.970097843569
"6"	"chr11"	394087	394188	29.3406831197248	97.4405059654124	308.672487542812	309.188123355518	0	49.3932707665475	0	59.5427543069488	0	120.696770671523	579.507638323726	149.576379348169	0	255.862620981708	327.906699819383	243.755563466608
"7"	"chr11"	450198	450299	447.445417576544	0	182.949142897342	346.456334652349	732.78469083212	0	0	0	0	0	202.625048364715	237.185401537684	0	528.669786399279	0	458.550069887219
"8"	"chr8"	477619	477720	85.5769924325307	83.7164910407259	149.133898475662	418.922301064016	0	144.06370640243	0	157.917739683908	0	0	259.360061906163	94.0194384472847	0	171.139898802391	620.680538942081	325.81189176319
"9"	"chr8"	486725	486826	0	693.062753697359	267.053725177735	69.7053581671478	0	0	0	522.940711739813	332.796175945934	507.932243243167	289.753819161863	352.572894178397	0	171.139898802391	0	0
"10"	"chr10"	491043	491170	0	367.814406293398	473.031097316594	318.888292087761	0	0	0	0	217.496713413613	507.932243243167	362.57119874769	783.399977370323	0	322.066423730565	37.2537420491632	602.671235657136
"11"	"chr5"	612229	612330	334.972798949451	392.506826846864	403.181760413818	344.385878469657	20.0214396401887	543.325978432853	0	258.881540465256	0	467.699986353675	147.916285306297	264.963871988666	683.900416530376	311.77961762057	526.992910423223	0
"12"	"chr11"	624049	624150	0	373.293205951749	267.920782726223	256.046414653396	0	0	0	0	497.546758097221	304.256442734718	216.808801749412	431.634694690239	0	140.639718817837	312.849759520079	243.755563466608
"13"	"chr16"	660886	661097	127.571714243799	682.551849375363	469.821913383339	568.544651211985	0	214.759288258033	0	234.208043883367	518.909677185461	627.091703151887	631.412301185754	338.557070954383	183.226485648626	423.38875438332	536.547209032605	611.121768122604
"14"	"chr2"	662651	662752	0	0	0	292.624473889795	0	0	0	0	0	0	0	0	0	526.975331955521	189.048250405995	0
"15"	"chr8"	694432	694533	481.676214548075	225.073844765412	546.24625604481	586.629251901849	0	0	827.60755451367	183.805893730408	306.436082801728	0	834.81519926219	465.823581397479	0	513.419696407173	766.230961821826	214.794506421099
"16"	"chr4"	705572	705673	564.80815005495	183.901799991353	891.335160658269	407.879868086635	520.557430644906	0	424.306411198441	0	144.980512293133	226.30644500936	670.688910086732	863.269389380478	747.697097178203	447.335973107477	445.0162354688	147.218706648246
"17"	"chr20"	768710	768824	0	1056.61672449596	212.018388102236	660.366551057446	0	0	0	965.605437028247	262.733823115368	797.542732810882	100.530462592087	215.817347345119	239.651671229082	860.203175558756	286.067190277682	671.396902881153
"18"	"chr11"	859980	860081	427.884962163888	150.964164171551	959.832707049241	62.803837556546	504.540278935182	201.689188963402	0	0	9.88503492907726	269.053217954508	1219.80279115476	863.269389380478	257.738589812273	154.195354366528	0	0
"19"	"chr18"	902266	902367	425.439905236998	0	52.0234529566528	325.061620759414	292.313018747159	415.726695618857	0	0	0	0	121.575029018911	0	0	798.088042929335	168.972330008614	0
"20"	"chr20"	953848	953949	163.818814085377	0	112.717481405891	345.766182591219	0	0	281.470589607029	0	0	0	0	277.784704503341	0	421.919156452826	168.972330008614	364.42663448956
"21"	"chr1"	1040887	1040988	83.131935505887	98.812907457881	664.166082746008	295.385082134314	0	0	142.835821591412	129.440770232497	72.4902561465665	0	948.285226347544	0	760.456433306222	528.669786399279	6.69197346568099	270.303199091901
"22"	"chr4"	1082466	1082567	398.54427904367	656.007913401121	697.981327167687	670.1376512902	0	0	684.771732924805	261.470355869906	576.627037531171	507.932243243167	188.441294979199	337.615256242091	1413.73444312832	315.168526508085	675.889320034456	919.513561195141
"23"	"chr5"	1112022	1112123	141.813301745584	255.2666776	94.5092728710058	417.541996941757	0	0	243.661107421068	204.516416967608	0	269.053217954508	44.5775106401922	0	222.012448650211	288.057255409677	567.144751216295	231.688456364312
"24"	"chr20"	1225486	1225587	271.401318857701	415.837652218415	649.426104408577	358.18891969086	404.433080732216	456.88775459098	424.306411198441	522.940711739813	0	507.932243243167	800.368941040837	769.24995093233	500.165976270407	389.724522024857	483.495082895283	243.755563466608
"25"	"chr20"	1299651	1299752	0	0	541.910968297992	69.7053581671478	0	0	0	0	0	0	709.187669275785	371.804142951489	257.738589812273	0	168.972330008614	0
