rep1	rep2	score	rep1rmsd	rep2rmsd	
ABAT	65	99	3.814429345	0.225	0.217
ABTB2	35	36	3.641039734	0.191	0.148
AOX1	55	69	3.773364151	0.24	0.208
APOL2	71	70	3.931658904	0.27	0.218
ARID5B	13	13	3.588169042	0.153	0.188
B4GALT5	1	1	3.525262579	0.177	0.107
BAZ1A	27	27	3.76680974	0.43	0.312
CHST15	83	45	3.590793886	0.099	0.124
CLK4	70	70	3.704237972	0.288	0.248
CREBZF	26	5	3.844663066	0.289	0.28
CRIM1	26	26	3.988948969	0.192	0.178
DAXX	52	52	3.78568251	0.425	0.279
DDX58	48	43	3.695551	0.298	0.26
DRAM1	2	1	3.942811007	0.205	0.201
EFEMP1	57	31	4.067252563	0.221	0.196
FAM117A	73	73	3.82637755	0.225	0.21
FGD6	92	52	3.713355666	0.176	0.234
FOXO1	44	1	3.565262874	0.095	0.151
HIVEP2	86	86	3.612439778	0.16	0.151
HMGCR	48	48	3.614019287	0.394	0.22
IER5L	88	88	4.001	0.483	0.518
IFNGR2	45	74	3.780403449	0.164	0.146
IL6ST	33	33	3.677950889	0.297	0.25
IRF2	33	33	3.751764697	0.275	0.226
ITGB8	29	1	4.004562831	0.228	0.21
KLHL5	5	6	3.814573521	0.322	0.315
KYNU	49	87	3.872784705	0.201	0.186
LAMC2	75	55	3.588192124	0.188	0.152
LINC00052	87	87	3.820191478	0.343	0.471
LINC02015	82	81	3.581058093	0.181	0.173
LTB	76	97	3.637028078	0.217	0.173
MGAT4A	14	95	3.648391249	0.226	0.195
NFATC2	32	32	3.829234357	0.152	0.133
NFKB1	64	77	3.66967521	0.178	0.131
NFKB2	84	84	3.45192202	0.179	0.145
OPTN	84	84	3.612796805	0.202	0.166
PHF23	55	55	4.078021405	0.343	0.333
PHLDB2	89	55	3.754210629	0.28	0.243
PLEKHG3	5	5	3.730441888	0.237	0.232
PPP1R18	48	47	3.704073317	0.238	0.208
PRKAR2B	83	44	3.556376595	0.248	0.208
RAB3IP	69	55	3.817346995	0.218	0.193
RBM25	63	63	3.693338112	0.22	0.199
RELB	70	70	3.540563409	0.175	0.153
RFX5	8	98	3.719866702	0.229	0.163
RSRC2	52	8	4.080714672	0.344	0.331
RUNX2	6	59	3.930516357	0.248	0.277
SEMA3C	34	17	3.871238859	0.228	0.208
SEMA4B	2	69	3.643430307	0.182	0.155
SERPINB8	65	17	3.725769241	0.306	0.292
SGPP2	36	36	3.915650784	0.251	0.244
SLC6A14	88	88	3.828	0.421	0.407
STAT5A	97	97	3.665918476	0.13	0.141
TAP1	75	75	3.701366108	0.205	0.202
TBC1D9	25	25	3.763358751	0.283	0.272
TNFAIP2	14	14	3.504137234	0.171	0.325
TRAF3	27	27	3.779880889	0.252	0.244
TRIP10	46	5	3.609021796	0.204	0.149
TUBD1	31	31	3.892664353	0.486	0.33
VDR	97	70	3.574625671	0.132	0.134
